,,,DVFS_PWM,R37,M31,unused_DVFS_PWM,GPIO3_PBB.01,,CLDVFS_PWM,SPI3A_SCK*,,B,,O,,,RSVD0,CLDVFS,SPI3,RSVD3,RSVD0,dvfs_pwm_pbb1,vddio_audio,,,pd,FALSE,,,CLDVFS,,NORMAL,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,CLDVFS_PWM,Output,Z,,,,,,,,CPU_CLDVFS_PWM,CPU CLDVFS PWM
,,,DVFS_CLK,N32,M33,unused_DVFS_CLK,GPIO3_PBB.02,,CLDVFS_CLK,SPI3A_DIN*,,B,,O,,,RSVD0,CLDVFS,SPI3,RSVD3,RSVD0,dvfs_clk_pbb2,vddio_audio,,,pu,FALSE,,,RSVD0,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DVFS_CLK,Not Assigned,,,,,,,,,Not used,UNUSED
,,,GPIO_X1_AUD,P34,P32,unused_GPIO_X1_AUD,GPIO3_PBB.03,,,SPI3A_DOUT*,,B,,,,,RSVD0,RSVD1,SPI3,RSVD3,RSVD0,gpio_x1_aud_pbb3,vddio_audio,,,pd,FALSE,,,RSVD0,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_GPIO_X1_AUD,Not Assigned,,,,,,,,,Not used,UNUSED
,,,GPIO_X3_AUD,R36,M34,unused_GPIO_X3_AUD,GPIO3_PBB.04,,,SPI3A_CS0*,,B,,,,,RSVD0,RSVD1,SPI3,RSVD3,RSVD0,gpio_x3_aud_pbb4,vddio_audio,,,pu,FALSE,,,RSVD0,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_GPIO_X3_AUD,Not Assigned,,,,,,,,,Not used,UNUSED
AUDIO_HV (3.3V Capable),,,AUDIO_HV (3.3V Capable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,
,,,DAP1_DIN,M3,M8,unused_DAP1_DIN,GPIO3_PB.01,I2S1_SDATA_IN,,,,B,I,,,,I2S1,RSVD1,RSVD2,RSVD3,RSVD1,dap1_din_pb1,vddio_audio_hv,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DAP1_DIN,Not Assigned,,,,,,,,,Not used,UNUSED
,,,DAP1_DOUT,L5,M5,unused_DAP1_DOUT,GPIO3_PB.02,I2S1_SDATA_OUT,,,,B,B,,,,I2S1,RSVD1,RSVD2,RSVD3,RSVD1,dap1_dout_pb2,vddio_audio_hv,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DAP1_DOUT,Not Assigned,,,,,,,,,Not used,UNUSED
,,,DAP1_FS,N3,M7,unused_DAP1_FS,GPIO3_PB.00,I2S1_LRCK,,,,B,B,,,,I2S1,RSVD1,RSVD2,RSVD3,RSVD1,dap1_fs_pb0,vddio_audio_hv,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DAP1_FS,Not Assigned,,,,,,,,,Not used,UNUSED
,,,DAP1_SCLK,L6,M4,unused_DAP1_SCLK,GPIO3_PB.03,I2S1_SCLK,,,,B,B,,,,I2S1,RSVD1,RSVD2,RSVD3,RSVD1,dap1_sclk_pb3,vddio_audio_hv,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DAP1_SCLK,Not Assigned,,,,,,,,,Not used,UNUSED
SPI1_MOSI,104,37,SPI2_MOSI,L2,M6,unused_SPI2_MOSI,GPIO3_PB.04,SPI2A_DOUT,,,,B,B,,,,SPI2,DTV,RSVD2,RSVD3,RSVD2,spi2_mosi_pb4,vddio_audio_hv,wake3,,pd,FALSE,,,GPIO_PB4,,PULL_DOWN,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PB.04,Input,Int PD,No,,,,,,,SPI 1 Master Out / Slave In,Expansion Header
SPI1_MISO,108,22,SPI2_MISO,L1,L7,unused_SPI2_MISO,GPIO3_PB.05,SPI2A_DIN,,,,B,B,,,,SPI2,DTV,RSVD2,RSVD3,RSVD2,spi2_miso_pb5,vddio_audio_hv,,,pd,FALSE,,,GPIO_PB5,,PULL_DOWN,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PB.05,Input,Int PD,,,,,,,,SPI 1 Master In / Slave Out,
SPI1_SCK,106,13,SPI2_SCK,M5,M3,unused_SPI2_SCK,GPIO3_PB.06,SPI2A_SCK,,,,B,B,,,,SPI2,DTV,RSVD2,RSVD3,RSVD2,spi2_sck_pb6,vddio_audio_hv,,,pd,FALSE,,,GPIO_PB6,,PULL_DOWN,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PB.06,Input,Int PD,,,,,,,,SPI 1 Clock,
SPI1_CS0*,110,18,SPI2_CS0,L3,L8,unused_SPI2_CS0,GPIO3_PB.07,SPI2A_CS0,,,,B,B,,,,SPI2,DTV,RSVD2,RSVD3,RSVD2,spi2_cs0_pb7,vddio_audio_hv,,,pu,FALSE,,,GPIO_PB7,,PULL_DOWN,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PB.07,Input,Int PD,,,,,,,,SPI 1 Chip Select 0,
SPI1_CS1*,112,16,SPI2_CS1,L7,P8,unused_SPI2_CS1,GPIO3_PDD.00,SPI2A_CS1,,,,B,B,,,,SPI2,RSVD1,RSVD2,RSVD3,RSVD1,spi2_cs1_pdd0,vddio_audio_hv,,,pu,FALSE,,,GPIO_PDD0,,PULL_DOWN,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PDD.00,Input,Int PD,,,,,,,,SPI 1 Chip Select 1,
DMIC,,,DMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,
I2S1_FS,224,,DMIC1_CLK,N34,L29,unused_DMIC1_CLK,GPIO3_PE.00,DMIC1_CLK,I2S3_LRCK,,,B,O,B,,,DMIC1,I2S3,RSVD2,RSVD3,RSVD2,dmic1_clk_pe0,vddio_dmic,,,pd,FALSE,,,I2S3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2S3_LRCK,Bidirectional,,,,,,,,,I2S Audio Port 1 Data Out,M.2 Key E
I2S1_DIN,222,,DMIC1_DAT,P38,M30,unused_DMIC1_DAT,GPIO3_PE.01,DMIC1_DAT,I2S3_SDATA_IN,,,B,I,I,,,DMIC1,I2S3,RSVD2,RSVD3,RSVD2,dmic1_dat_pe1,vddio_dmic,,,pd,FALSE,,,I2S3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2S3_SDATA_IN,Input,,,,,,,,,I2S Audio Port 1 Data In,
I2S1_DOUT,220,,DMIC2_CLK,P36,L27,unused_DMIC2_CLK,GPIO3_PE.02,DMIC2_CLK,I2S3_SDATA_OUT,,,B,O,B,,,DMIC2,I2S3,RSVD2,RSVD3,RSVD2,dmic2_clk_pe2,vddio_dmic,,,pd,FALSE,,,I2S3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2S3_SDATA_OUT,Bidirectional,,,,,,,,,I2S Audio Port 1 Left/Right Clock,
I2S1_SCLK,226,,DMIC2_DAT,P37,L28,unused_DMIC2_DAT,GPIO3_PE.03,DMIC2_DAT,I2S3_SCLK,,,B,I,B,,,DMIC2,I2S3,RSVD2,RSVD3,RSVD2,dmic2_dat_pe3,vddio_dmic,,,pd,FALSE,,,I2S3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2S3_SCLK,Bidirectional,,,,,,,,,I2S Audio Port 1 Clock,
,,,DMIC3_CLK,N37,L33,unused_DMIC3_CLK,GPIO3_PE.04,,,,,B,,,,,DMIC3,I2S5A,RSVD2,RSVD3,RSVD2,dmic3_clk_pe4,vddio_dmic,,,pd,FALSE,,,RSVD2,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DMIC3_CLK,Not Assigned,,,,,,,,,Not used,UNUSED
,,,DMIC3_DAT,N38,L32,unused_DMIC3_DAT,GPIO3_PE.05,,,,,B,,,,,DMIC3,I2S5A,RSVD2,RSVD3,RSVD2,dmic3_dat_pe5,vddio_dmic,,,pd,FALSE,,,RSVD2,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_DMIC3_DAT,Not Assigned,,,,,,,,,Not used,UNUSED
GPIO13,228,33,GPIO_PE6,M36,L31,unused_GPIO_PE6,GPIO3_PE.06,,,PM3_PWM2,,B,,,O,,RSVD0,I2S5A,PWM2,RSVD3,RSVD0,pe6,vddio_dmic,wake4,,pd,FALSE,,,PWM2,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PM3_PWM2,Output,N/A,No,,,,, ,,GPIO #13 or Pulse Width Modulator,Expansion Header
GPIO14,230,,GPIO_PE7,M34,L30,unused_GPIO_PE7,GPIO3_PE.07,,,PM3_PWM3,,B,,,O,,RSVD0,I2S5A,PWM3,RSVD3,RSVD0,pe7,vddio_dmic,wake5,,pd,FALSE,,,PWM3,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PM3_PWM3,Output,,No,,,,,,,GPIO #14 or Pulse Width Modulator,Fan
I2C2_SCL,232,,GEN3_I2C_SCL,L32,J31,unused_GEN3_I2C_SCL,GPIO3_PF.00,I2C3_CLK,,,,B,B,,,,I2C3,RSVD1,RSVD2,RSVD3,RSVD1,gen3_i2c_scl_pf0,vddio_dmic,,,z,FALSE,,,I2C3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2C3_CLK,Bidirectional,,,,Disable,2.2K,,,,General I2C 2 Clock.  4.7k? pull-up to 1.8V on the module.,I2C Bus to Baseboard
I2C2_SDA,234,,GEN3_I2C_SDA,N36,L34,unused_GEN3_I2C_SDA,GPIO3_PF.01,I2C3_DAT,,,,B,B,,,,I2C3,RSVD1,RSVD2,RSVD3,RSVD1,gen3_i2c_sda_pf1,vddio_dmic,wake20,,z,FALSE,,,I2C3,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2C3_DAT,Bidirectional,,No,,Disable,2.2K,,,,General I2C 2 Data.  4.7k? pull-up to 1.8V on the module.,
CAM,,,CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,
CAM_I2C_SCL,213,,CAM_I2C_SCL,P6,P5,unused_CAM_I2C_SCL,GPIO3_PS.02,,I2CVI_CLK,,,B,,B,,,I2C3,I2CVI,RSVD2,RSVD3,RSVD2,cam_i2c_scl_ps2,vddio_cam,wake47,,z,FALSE,,,I2CVI,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2CVI_CLK,Bidirectional,,No,,Enable,2.2K,,,,Camera I2C Clock. 1k? pull-up to 3.3V on the module.,Camera Connector
CAM_I2C_SDA,215,,CAM_I2C_SDA,P1,P4,unused_CAM_I2C_SDA,GPIO3_PS.03,,I2CVI_DAT,,,B,,B,,,I2C3,I2CVI,RSVD2,RSVD3,RSVD2,cam_i2c_sda_ps3,vddio_cam,wake48,,z,FALSE,,,I2CVI,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,I2CVI_DAT,Bidirectional,,No,,Enable,2.2K,,,,Camera I2C Data. 1k? pull-up to 3.3V on the module.,Camera Connector
CAM0_MCLK,116,,CAM1_MCLK,N6,P7,unused_CAM1_MCLK,GPIO3_PS.00,extperiph3_clk,,,,B,O,,,,EXTPERIPH3,RSVD1,RSVD2,RSVD3,RSVD1,cam1_mclk_ps0,vddio_cam,,,pd,FALSE,,,EXTPERIPH3,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,extperiph3_clk,Output,,,,,,,,,Camera 0 Reference Clock,Camera Connector #1
CAM1_MCLK,122,,CAM2_MCLK,T7,P2,unused_CAM2_MCLK,GPIO3_PS.01,extperiph3_clk,,,,B,O,,,,EXTPERIPH3,RSVD1,RSVD2,RSVD3,RSVD1,cam2_mclk_ps1,vddio_cam,,,pd,FALSE,,,EXTPERIPH3,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,extperiph3_clk,Output,,,,,,,,,Camera 1 Reference Clock,Camera Connector #2
,,,CAM_RST,P5,P6,unused_CAM_RST,GPIO3_PS.04,,,,,B,,,,,VGP1,RSVD1,RSVD2,RSVD3,RSVD1,cam_rst_ps4,vddio_cam,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_CAM_RST,Not Assigned,,,,,,,,,Not used,UNUSED
GPIO01,118,29,CAM_AF_EN,P3,R5,unused_CAM_AF_EN,GPIO3_PS.05,vimclk_alt3,,,,B,B,,,,VIMCLK,VGP2,RSVD2,RSVD3,RSVD2,cam_af_en_ps5,vddio_cam,,,pd,FALSE,,,GPIO_PS5,,PULL_UP,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PS.05,Input,Int PU,,,,,,,,GPIO #1 or Camera MCLK #3,Expansion Header
,,,CAM_FLASH_EN,P2,R8,unused_CAM_FLASH_EN,GPIO3_PS.06,,,,,B,,,,,VIMCLK,VGP3,RSVD2,RSVD3,RSVD2,cam_flash_en_ps6,vddio_cam,,,pd,FALSE,,,RSVD2,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_CAM_FLASH_EN,Not Assigned,,,,,,,,,Not used,UNUSED
CAM0_PWDN,114,,CAM1_PWDN,N5,R6,unused_CAM1_PWDN,GPIO3_PS.07,,,,,B,,,,,VGP4,RSVD1,RSVD2,RSVD3,RSVD1,cam1_pwdn_ps7,vddio_cam,,,pd,FALSE,,,GPIO_PS7,,NORMAL,NORMAL,DISABLE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PS.07,Output,Drive 0,,,,,,,,Camera 0 Powerdown or GPIO,Camera Connector #1
CAM1_PWDN,120,,CAM2_PWDN,T6,P3,unused_CAM2_PWDN,GPIO3_PT.00,,,,,B,,,,,VGP5,RSVD1,RSVD2,RSVD3,RSVD1,cam2_pwdn_pt0,vddio_cam,,,pd,FALSE,,,GPIO_PT0,,NORMAL,NORMAL,DISABLE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PT.00,Output,Drive 0,,,,,,,,Camera 1 Powerdown or GPIO,Camera Connector #2
,,,CAM1_STROBE,P7,R7,unused_CAM1_STROBE,GPIO3_PT.01,,,,,B,,,,,VGP6,RSVD1,RSVD2,RSVD3,RSVD1,cam1_strobe_pt1,vddio_cam,,,pd,FALSE,,,RSVD1,,PULL_DOWN,TRISTATE,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,unused_CAM1_STROBE,Not Assigned,,,,,,,,,Not used,UNUSED
PEX_CTL,,,PEX_CTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V,,
PCIE0_CLKREQ*,180,,PEX_L0_CLKREQ_N,AV36,AP31,unused_PEX_L0_CLKREQ_N,GPIO3_PA.01,pe0_clkreq_l,,,,B,B,,,,PE0,RSVD1,RSVD2,RSVD3,RSVD1,pex_l0_clkreq_n_pa1,vddio_pex_ctl,,,z,FALSE,,,PE0,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,pe0_clkreq_l,Input,,,,Enable,47K,,,,PCIE #0 Clock Request (PCIe Ctrl #0).  47k? pull-up to 3.3V on the module.,PCI-E Controller 0 Clock Request
PCIE0_RST*,181,,PEX_L0_RST_N,AT35,AM31,unused_PEX_L0_RST_N,GPIO3_PA.00,pe0_rst_l,,,,B,O,,,,PE0,RSVD1,RSVD2,RSVD3,RSVD1,pex_l0_rst_n_pa0,vddio_pex_ctl,,,0,FALSE,,,PE0,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,pe0_rst_l,Output,,,,Enable,4.7K,,,,PEX_L0_RST_N_AP,PCI-E Controller 0 Reset
,,,PEX_L1_CLKREQ_N,AT37,AP32,unused_PEX_L1_CLKREQ_N,GPIO3_PA.04,pe1_clkreq_l,,,,B,B,,,,PE1,RSVD1,RSVD2,RSVD3,RSVD1,pex_l1_clkreq_n_pa4,vddio_pex_ctl,,,z,FALSE,,,PE1,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,pe1_clkreq_l,Input,,,,Enable,47K,,,,PEX_L1_CLKREQ_N_AP,PCI-E  Controller 1 Clock Request
,,,PEX_L1_RST_N,AR38,AN32,unused_PEX_L1_RST_N,GPIO3_PA.03,pe1_rst_l,,,,B,O,,,,PE1,RSVD1,RSVD2,RSVD3,RSVD1,pex_l1_rst_n_pa3,vddio_pex_ctl,,,0,FALSE,,,PE1,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,pe1_rst_l,Output,,,,Enable,47K,,,,PEX_L1_RST_N_AP,PCI-E Controller 1 Reset
PCIE_WAKE*,179,,PEX_WAKE_N,AU36,AN31,unused_PEX_WAKE_N,GPIO3_PA.02,pe_wake_l,,,,B,I,,,,PE,RSVD1,RSVD2,RSVD3,RSVD1,pex_wake_n_pa2,vddio_pex_ctl,wake0,,z,FALSE,,,PE,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,pe_wake_l,Input,,Yes,,Enable,100K,, ,,PCIe Wake. 100k? pull-up to 3.3V on the module.,M.2 Key E
,,,SATA_LED_ACTIVE,AT34,AL30,unused_SATA_LED_ACTIVE,GPIO3_PA.05,,,,,B,,,,,SATA,RSVD1,RSVD2,RSVD3,RSVD1,sata_led_active_pa5,vddio_pex_ctl,,,0,FALSE,,,GPIO_PA5,,PULL_UP,NORMAL,ENABLE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PA.05,Input,Int PU,,,,,,,,GPU_PGOOD_OVR,GPU Power Good
MOD_SLEEP*,178,,GPIO_PA6,AU37,AK30,unused_GPIO_PA6,GPIO3_PA.06,,,,,B,,,,,SATA,RSVD1,RSVD2,RSVD3,RSVD1,pa6,vddio_pex_ctl,wake1,,z,FALSE,,,GPIO_PA6,,NORMAL,NORMAL,DISABLE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,GPIO3_PA.06,Output,Drive 1,No,,,,,,,MOD_SLEEP,GPIO
PCIE0_CLK_P,162,,PEX_CLK1P,AU34,AP29,unused_PEX_CLK1P,,PEX_CLK_OUT_1_P,,,,,O,,,,,,,,,,vddio_pex_ctl,,,0,FALSE,,,,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PEX_CLK_OUT_1_P,Output,,,,,,,,,PCIe #0 Reference Clock+ (PCIe Ctrl #0),PCI-E Controller 0 Clock
PCIE0_CLK_N,160,,PEX_CLK1N,AV34,AN29,unused_PEX_CLK1N,,PEX_CLK_OUT_1_N,,,,,O,,,,,,,,,,vddio_pex_ctl,,,0,FALSE,,,,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PEX_CLK_OUT_1_N,Output,,,,,,,,,PCIe #0 Reference Clock - (PCIe Ctrl #0),
,,,PEX_CLK2P,AU35,AN30,unused_PEX_CLK2P,,PEX_CLK_OUT_2_P,,,,,O,,,,,,,,,,vddio_pex_ctl,,,0,FALSE,,,,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PEX_CLK_OUT_2_P,Output,,,,,,,,,PCIe #1 Reference Clock+ (PCIe Ctrl #1),PCI-E Controller 1 Clock
,,,PEX_CLK2N,AV35,AP30,unused_PEX_CLK2N,,PEX_CLK_OUT_2_N,,,,,O,,,,,,,,,,vddio_pex_ctl,,,0,FALSE,,,,,NORMAL,NORMAL,DISABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,PEX_CLK_OUT_2_N,Output,,,,,,,,,PCIe #1 Reference Clock - (PCIe Ctrl #1),
SDMMC1 (3.3V Capable),,,SDMMC1 (3.3V Capable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8V/3.3V,,
,,,SDMMC1_CLK,AU4,AP4,unused_SDMMC1_CLK,GPIO3_PM.00,SDMMC1_CLK,,,,B,O,,,,SDMMC1,RSVD1,RSVD2,RSVD3,RSVD1,sdmmc1_clk_pm0,vddio_sdmmc1,,,pd,FALSE,,,SDMMC1,,NORMAL,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,SDMMC1_CLK,Output,,,,,,,,,SDMMC1_CLK,Micro SD Card on module
,,,SDMMC1_CMD,AV4,AN5,unused_SDMMC1_CMD,GPIO3_PM.01,SDMMC1_CMD,,,,B,B,,,,SDMMC1,SPI3,RSVD2,RSVD3,RSVD2,sdmmc1_cmd_pm1,vddio_sdmmc1,,,pu,FALSE,,,SDMMC1,YES,PULL_UP,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,SDMMC1_CMD,Bidirectional,Int PU,,,,,,,,SDMMC1_CMD,
,,,SDMMC1_DAT0,AV3,AM5,unused_SDMMC1_DAT0,GPIO3_PM.05,SDMMC1_DAT0,,,,B,B,,,,SDMMC1,RSVD1,RSVD2,RSVD3,RSVD1,sdmmc1_dat0_pm5,vddio_sdmmc1,,,pu,FALSE,,,SDMMC1,YES,PULL_UP,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,SDMMC1_DAT0,Bidirectional,Int PU,,,,,,,,SDMMC1_DAT0,
,,,SDMMC1_DAT1,AU3,AM4,unused_SDMMC1_DAT1,GPIO3_PM.04,SDMMC1_DAT1,,,,B,B,,,,SDMMC1,SPI3,RSVD2,RSVD3,RSVD2,sdmmc1_dat1_pm4,vddio_sdmmc1,wake17,,pu,FALSE,,,SDMMC1,YES,PULL_UP,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,SDMMC1_DAT1,Bidirectional,Int PU,No,,,,,,,SDMMC1_DAT1,
,,,SDMMC1_DAT2,AT4,AN4,unused_SDMMC1_DAT2,GPIO3_PM.03,SDMMC1_DAT2,,,,B,B,,,,SDMMC1,SPI3,RSVD2,RSVD3,RSVD2,sdmmc1_dat2_pm3,vddio_sdmmc1,,,pu,FALSE,,,SDMMC1,YES,PULL_UP,NORMAL,ENABLE,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VALID,SDMMC1_DAT2,Bidirectional,Int PU,,,,,,,,SDMMC1_DAT2,
